"i","j","k","quantity"
1,1,1,14
1,1,6,15
1,1,7,11
1,1,8,15
1,1,9,15
1,1,10,29
1,1,11,20
1,1,12,11
1,1,13,23
1,2,2,19
1,2,3,18
1,2,5,27
1,2,6,11
1,2,7,12
1,2,14,14
1,2,15,23
1,2,16,20
1,3,4,1
1,3,8,12
1,3,16,20
1,4,2,19
1,4,7,27
1,4,8,5
1,4,9,23
1,4,10,27
1,4,11,28
1,4,12,20
1,5,1,24
1,5,3,3
1,5,4,22
1,5,6,16
1,5,9,12
1,5,11,13
1,5,16,12
1,6,2,22
1,6,4,14
1,6,7,22
1,6,10,21
1,6,12,24
1,6,13,30
1,6,14,28
1,7,5,16
1,7,11,20
1,7,13,13
1,7,15,21
1,7,16,15
2,2,1,11
2,2,2,7
2,2,4,19
2,2,8,18
2,2,9,19
2,2,10,14
2,2,11,14
2,2,12,11
2,2,13,12
2,2,14,3
2,3,2,18
2,3,3,30
2,3,5,1
2,3,6,12
2,3,10,17
2,3,12,13
2,3,13,11
2,3,14,27
2,4,5,20
2,4,14,28
2,4,15,16
2,4,16,12
2,5,2,29
2,5,3,19
2,5,7,12
2,5,8,8
2,5,10,9
2,5,12,15
2,5,13,24
2,5,14,16
2,5,15,11
2,6,3,27
2,6,5,5
2,6,6,18
2,6,8,13
2,6,11,21
2,6,15,19
2,7,1,12
2,7,2,28
2,7,4,30
2,7,6,14
2,7,7,15
2,7,12,24
3,1,2,16
3,1,3,27
3,1,4,27
3,1,5,26
3,1,9,7
3,1,14,22
3,1,15,17
3,1,16,11
3,3,1,21
3,3,4,17
3,3,5,20
3,3,7,13
3,3,8,16
3,3,9,25
3,3,11,21
3,3,13,14
3,3,15,27
3,4,1,17
3,4,3,19
3,4,4,25
3,4,6,27
3,4,8,12
3,4,13,11
3,4,16,15
3,5,3,5
3,5,5,20
3,5,8,21
3,5,10,20
3,5,16,17
3,6,1,27
3,6,2,4
3,6,5,22
3,6,9,30
3,6,10,5
3,6,16,16
3,7,3,13
3,7,5,4
3,7,6,1
3,7,8,17
3,7,9,22
3,7,10,21
3,7,13,13
3,7,14,18
3,7,15,7
